station_id,source_year,example_local_path
714440-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71444099999.csv
714460-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71446099999.csv
714480-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71448099999.csv
714490-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71449099999.csv
714500-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71450099999.csv
714520-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71452099999.csv
714530-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71453099999.csv
714550-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71455099999.csv
714570-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71457099999.csv
714590-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71459099999.csv
714670-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71467099999.csv
714680-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71468099999.csv
714720-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71472099999.csv
714724-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71472499999.csv
714750-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71475099999.csv
714770-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71477099999.csv
714780-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71478099999.csv
714820-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71482099999.csv
714840-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71484099999.csv
714870-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71487099999.csv
714910-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71491099999.csv
714930-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71493099999.csv
714950-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71495099999.csv
714980-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71498099999.csv
715020-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71502099999.csv
715060-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71506099999.csv
715080-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71508099999.csv
715090-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71509099999.csv
715110-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71511099999.csv
715140-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71514099999.csv
715150-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71515099999.csv
715170-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71517099999.csv
715180-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71518099999.csv
715240-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71524099999.csv
715250-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71525099999.csv
715260-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71526099999.csv
715270-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71527099999.csv
715320-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71532099999.csv
715330-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71533099999.csv
715350-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71535099999.csv
715370-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71537099999.csv
715390-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71539099999.csv
715500-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71550099999.csv
715510-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71551099999.csv
715520-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71552099999.csv
715530-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71553099999.csv
715540-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71554099999.csv
715550-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71555099999.csv
715560-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71556099999.csv
715570-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71557099999.csv
715690-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71569099999.csv
715700-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71570099999.csv
715730-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71573099999.csv
715740-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71574099999.csv
715770-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71577099999.csv
715780-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71578099999.csv
715790-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71579099999.csv
715810-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71581099999.csv
715820-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71582099999.csv
715910-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71591099999.csv
715980-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71598099999.csv
715990-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71599099999.csv
716010-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71601099999.csv
716015-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71601599999.csv
716030-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71603099999.csv
716050-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71605099999.csv
716080-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71608099999.csv
716090-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71609099999.csv
716120-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71612099999.csv
716160-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71616099999.csv
716170-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71617099999.csv
716190-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71619099999.csv
716210-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71621099999.csv
716220-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71622099999.csv
716240-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71624099999.csv
716250-99999,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71625099999.csv
716270-94792,2024,/Volumes/NOAA_CACHE/noaa-global-hourly-year-staging/2024/71627094792.csv
